Regulated Donee,Donor,Donation Type,Date Accepted,Date Reported,Measure Names,Destination,Nature Of Donation,Position Standing For,Purpose Of Visit,Value
Jim Dowd,Government of Taiwan,Visit,01/01/2006,01/02/2006,Value,Taiwan,,,As member of All-Party British-Taiwanese Group,"£3,000.00"
Jim Eadie,"Ministry of Foreign Affairs, Republic of China",Visit,08/10/2013,11/11/2013,Value,"Taiwan, Republic of China. Taipei.",,,Fact finding visit as a member of the cross party group in the Scottish Parliament on Taiwan.,"£3,108.00"
Jim Fitzpatrick MP,Canary Wharf Group,Visit,04/01/2008,01/02/2008,Value,Bangladesh,,,Visit sponsored projects.,"£3,680.00"
Jim Fitzpatrick MP,Chrisp Street Development Ltd,Non Cash,10/12/2018,05/08/2019,Value,,Premises,,,"£7,000.00"
Jim Fitzpatrick MP,FIA Foundation (Federation International Automotive Foundation),Visit,16/11/2015,14/12/2015,Value,"Brasilia, Brazil",,,UN/WHO second Global Conference on Road Safety - Sustainable Development Goals.,"£3,500.00"
Jim Fitzpatrick MP,Towards Zero Foundation,Visit,11/04/2016,14/04/2016,Value,New York,,,to attend the United Nations Road Safety Collaboration meeting.,"£4,000.00"
Jim Knight MP,Labour Friends of Israel,Visit,18/01/2004,01/02/2004,Value,Israel,,,Party of Parliamentary delegates,"£1,366.00"
Jim Murphy MP," Alan Massie",Cash,10/12/2014,16/12/2014,Value,,,Leader of the Scottish Labour Party,,"£14,500.00"
Jim Murphy MP," Alan Massie",Cash,22/01/2015,09/02/2015,Value,,,,,"£18,400.00"
Jim Murphy MP," John McGuire",Cash,10/12/2014,16/12/2014,Value,,,Leader of the Scottish Labour Party,,"£20,000.00"
Jim Murphy MP,Australian Government,Visit,17/06/2012,20/07/2012,Value,Australia,,,"At the invitation of the Australian Ministry of Defence as part of a cross-party delegation to visit defence establishments and to meet with Ministers, defence personnel and contractors","£12,389.00"
Jim Murphy MP,Britain Israel Communications and Research Centre (BiCom),Visit,06/06/2011,28/06/2011,Value,"Tel Aviv, Israel",,,"Fact finding in my capacity as Shadow Secretary of State for Defence as part of the defence policy review, and to meet both Israeli and Palestinian politicians","£3,234.00"
Jim Murphy MP,Falcon Communications,Visit,30/10/2012,21/11/2012,Value,"Norfolk, Virginia",,,To visit and deliver a keynote speech at the CBRNeWorld 2012 conference,"£2,152.00"
Jim Murphy MP,Holland House Property Investments Ltd,Non Cash,10/12/2014,16/12/2014,Value,,Premises,Leader of the Scottish Labour Party,,"£4,000.00"
Jim Murphy MP,Lord George Robertson,Cash,10/12/2014,16/12/2014,Value,,,Leader of the Scottish Labour Party,,"£2,000.00"
Jim Murphy MP,Norweigan Government,Visit,20/05/2012,14/06/2012,Value,Norway,,,A visit to Norway at the invitation of the Norwegian Government as part of a delegation to study issues of climate change and defence,"£1,850.00"
Jim Murphy MP,The Maureen and David Garrard Foundation,Visit,10/09/2012,04/10/2012,Value,"Herzliya, Israel",,,"To visit and deliver a keynote speech at the Herzliya, 12th Annual World
Summit on Counter-Terrorism Conference.","£1,570.00"
Jim Murphy MP,TUC,Visit,31/03/2014,29/04/2014,Value,Qatar,,,"As Shadow Secretary of State for International Development, to observe the conditions of migrant workers in Qatar.","£2,675.99"
Jim Sheridan MP,European Azerbaijan Society,Visit,26/03/2013,12/06/2013,Value,"Baku, Azerbaijan",,,"To meet with local trade unionists to discuss issues of mutual concern. The trip also included a visit to the British War Memorial, meetings with local MPs and a visit to a BP facility where workers’ terms were discussed.","£3,100.00"
Jim Sheridan MP,"Farm Labor Organising Committee, AFL-CIO",Visit,25/07/2014,02/09/2014,Value,"Durham, North Carolina, USA",,,"To meet with tobacco workers and american trade union officials to discuss 
issues of mutual interest with regards to UK based companies supply chains.","£2,735.87"
Jim Sheridan MP,First Group Plc,Visit,12/09/2008,01/10/2008,Value,New York State and California,,,Fact finding visit on US and Labour relations.,"£6,621.06"
Jim Sheridan MP,Government of Taiwan,Visit,10/01/2009,01/02/2009,Value,Taiwan,,,Guest of Taiwanese Government.,"£3,000.00"
Jim Sheridan MP,Hong Kong Government,Visit,16/02/2013,09/09/2013,Value,Hong Kong,,,"As part of All-Party China Group, to exchange views with senior representatives from Hong Kong Government and civil society.","£9,250.00"
Jim Sheridan MP,Justice for Columbia,Visit,08/04/2009,01/05/2009,Value,Bogota,,,Meeting with govt ministers & union leaders.,"£1,500.00"
Jim Sheridan MP,Scottish Racing,Non Cash,17/01/2011,18/02/2011,Value,,Hospitality,,,"£1,800.00"
Jim Sheridan MP,Unite the Union,Visit,07/11/2010,01/12/2010,Value,Mexico,,,Meet with trade unionists for discussions.,"£6,435.82"
Jim Sheridan MP,Unite the Union,Visit,19/05/2013,10/07/2013,Value,"Toronto, Canada",,,"To participate in a conference with trade unionists from the United States, Canada and Ireland under the banner of Workers Uniting.","£2,704.24"
Jim Sheridan MP,Virgin Nigeria Ltd,Visit,04/11/2007,01/12/2007,Value,"Lagos, Nigeria",,,APPG Nigeria Group investigating matters,"£3,761.30"
Jimmy Hood MP,BAA Plc,Non Cash,14/06/2001,01/07/2001,Value,,Travel,,,"£5,245.20"
Jimmy Hood MP,Manchester Airport Plc,Non Cash,19/10/2001,01/11/2001,Value,,Travel,,,"£5,100.00"
Jimmy Hood MP,The Taipei Representative Office in the UK (TRO),Visit,26/07/2014,11/08/2014,Value,Taiwan,,,"As part of the British-Taiwanese APPG, to promote the understanding of Taiwan and strengthen UK-Taiwan relations.","£3,300.00"
Jo Churchill MP,"Ministry of Foreign Affairs, Qatar",Visit,14/02/2017,09/03/2017,Value,Qatar,,,"British-Qatar APPG visit to meet Ministers, officials, visit world cup sites and discuss issues of bilateral relations and regional crises","£5,100.00"
Jo Gideon,Conservative Environment Network,Visit,25/09/2023,16/10/2023,Value,"Bergen and Oslo, Norway.",,,To undertake site visits to energy projects and to meet members of the Conservative Party in Norway to discuss environmental issues.,"£1,640.00"
Jo Gideon,Conservative Friends of Israel Ltd (CFI Ltd),Visit,12/02/2023,20/03/2023,Value,Israel and the West Bank,,,Fact finding political delegation.,"£3,400.00"
Jo Gideon,Hanns Seidel Foundation,Visit,23/09/2021,25/10/2021,Value,Munich and Berlin,,,"Delegation to meet politicians, government officials, policy institutes, business and to observe the German General Election.","£2,470.00"
Jo Stevens MP,Fire Brigade Union,Non Cash,02/04/2019,10/01/2020,Value,,Administration services,,,"£9,891.00"
Jo Stevens MP,Fire Brigade Union,Non Cash,07/11/2021,01/12/2021,Value,,Administration services,,,"£7,066.00"
Jo Stevens MP,Justice for Colombia,Visit,15/08/2018,13/09/2018,Value,Colombia,,,Monitoring of the implementation of the Colombian Peace Agreement.,"£3,800.00"
Jo Swinson MP,Government of Norway,Visit,05/04/2008,01/05/2008,Value,"Tromso and Svalbard, Norway",,,"Learn about the Government's ""High North"" strategy","£2,200.00"
Jo Swinson MP,Industry and Parliament Trust,Visit,22/03/2009,01/04/2009,Value,Mumbai and Chennai,,,Industry and Parliament Trust Fellowship.,"£1,950.00"
Jo Swinson MP,Virgin Atlantic Airways Ltd,Visit,22/03/2009,01/04/2009,Value,Mumbai and Chennai,,,Industry and Parliament Trust Fellowship.,"£1,593.80"
Joan Humble,Transport and General Workers Union,Cash,08/05/2005,01/06/2005,Value,,,,,"£3,000.00"
Joan Ryan MP,Australia Israel Cultural Exchange Limited,Visit,11/12/2015,11/01/2016,Value,Israel and the Palestinian Territories,,,"Participation in the Australia Israel UK Leadersip Dialogue, including dicussions on the Israeli/Palestinian peace process and security issues (11-15 December) and participation in a fact-finding trip with Shadow Foreign Secretary (15-16 December).","£1,674.46"
Joan Ryan MP,Australia Israel Cultural Exchange Limited,Visit,16/12/2016,19/01/2017,Value,Israel,,,Tripartite Australia Israel UK Leadership Dialogue conference in Israel.,"£2,000.00"
Joan Ryan MP,Australia Israel Cultural Exchange Limited (AICE),Visit,06/07/2018,23/07/2018,Value,Jerusalem,,,"Multilateral conference between UK, Israel, Australia and USA.","£1,750.00"
Joan Ryan MP,Hong Kong Government,Visit,25/01/2016,17/02/2016,Value,Hong Kong,,,"as part of the APPG for China, to maintain bilateral ties; support British businesses operating in Hong Kong; and deepen the knowledge of parliamentarians of Hong Kong's political, social and economic development.","£10,321.08"
Joan Ryan MP,Labour Friends of Israel,Visit,07/09/2008,01/10/2008,Value,Israel and Palestine,,,Party of Parliamentary delegates,"£1,300.00"
Joan Ryan MP,Labour Friends of Israel,Visit,20/03/2016,13/04/2016,Value,Israel and Palestinian territories,,,"Meeting with Israeli and Palestinian politicians, academics, journalists and diplomats.","£2,927.66"
Joan Ryan MP,Labour Friends of Israel,Visit,14/12/2016,14/12/2016,Value,United States,,,"Fact-finding visit in support of a proposed International Fund for Israeli-Palestinian Peace. Meetings with politicians, campaigners, policymakers and diplomats.","£1,874.90"
Joan Ryan MP,Labour Friends of Israel,Visit,27/05/2018,12/06/2018,Value,Israel and Palestinian territories,,,"Fact-finding visit. Meeting with Israeli and Palestinian co-existence campaigners, politicians, academics and diplomats.","£1,600.00"
Joan Ryan MP,Labour Friends of Israel,Visit,28/07/2019,12/08/2019,Value,Israel and the Palestinian territories,,,"Fact-finding visit. Meeting with Israeli and Palestinian co-existence campaigners, politicians, academics and diplomats. Flights, accommodation and meals with a value of £2,000.","£2,000.00"
Joan Ryan MP,Sir David Garrard,Cash,21/03/2019,11/04/2019,Value,,,,,"£10,000.00"
Joan Ryan MP,Sir David Garrard,Cash,03/04/2019,11/04/2019,Value,,,,,"£8,018.50"
Joan Ryan MP,Sir Trevon Chinn,Cash,19/03/2019,11/04/2019,Value,,,,,"£5,000.00"
Joan Ryan MP,The American Israel Public Affairs Committe (AIPAC),Visit,21/03/2019,11/04/2019,Value,"Washington DC, USA",,,"Visit to AIPAC Policy Conference to speak on the subject of antisemitism in the UK, and meeting with peace advocates, politicians, diplomats and academics from the US, Europe and the Middle East.","£8,500.00"
Joan Ryan MP,The American Jewish Congress,Visit,31/05/2019,17/06/2019,Value,"Washington DC, USA",,,"visit to AJC Global Forum to speak on the subject of antisemitism in the UK, and meetings with peace advocates, politicians, diplomats and academics from the US, Europe and the Middle East.","£2,000.00"
Johann Lamont MSP,Co-operative Party,Cash,02/12/2011,23/12/2011,Value,,,,,"£5,000.00"
John Austin MP,BAA Plc,Non Cash,01/08/2001,01/09/2001,Value,,Travel,,,"£5,245.20"
John Austin MP,Council for Advancement of Arab British Understanding,Visit,10/02/2007,01/03/2007,Value,Kuwait,,,Promote aims of CAABU,"£4,000.00"
John Austin MP,Kingdom Bahrian Government,Visit,12/10/2003,01/11/2003,Value,Bahrain,,,Study visit.,"£1,600.00"
John Baron,British Council,Visit,13/11/2018,12/12/2018,Value,"Astana, Kazajhstan",,,"As Chair of the British Council APPG, to attend the Creative Central Asia - Astana Forum organised by the British Council.","£6,048.02"
John Baron,British Council,Visit,31/10/2022,29/11/2022,Value,"Tokyo, Japan",,,"To experience the work of the British Council across arts, education and the English language in Japan - a strategic, non-ODA priority operation at the centre of the UK’s Indo-Pacific tilt.","£2,980.17"
John Barrett MP,BAA Plc,Non Cash,17/08/2001,01/09/2001,Value,,Travel,,,"£5,245.20"
John Battle MP,Egyptian People's Assembly,Visit,12/09/2008,01/10/2008,Value,Egypt,,,Meetings with ministers and parliamentarians.,"£1,500.00"
John Bell,Conservative Friends of Israel,Visit,29/06/2015,28/09/2015,Value,Israel and the Palestinian Territories,,,Political delegation to Israel and the Palestinian Territories.,"£1,600.00"
John Bercow MP,Christian Solidarity Worldwide,Visit,15/03/2004,01/04/2004,Value,Thai-Burma Border,,,To study human rights situtation,"£1,109.00"
John Bercow MP,Deutsche Bank,Visit,14/09/2008,01/10/2008,Value,New York and Washington,,,Meet representatives of US financial sector.,"£4,242.91"
John Bercow MP,Lord Michael Levy,Cash,24/03/2014,27/03/2014,Value,,,,,"£2,500.00"
John Bercow MP,Lord Michael Levy,Cash,29/04/2017,02/05/2017,Value,,,,,"£5,000.00"
John Bercow MP,Madhu’s Ltd,Cash,16/06/2014,01/07/2014,Value,,,,,"£5,000.00"
John Bercow MP,Mr Kishorkant Bhatessa,Cash,15/12/2014,23/12/2014,Value,,,,,"£5,000.00"
John Bercow MP,Mr Michael Keegan,Cash,24/03/2014,27/03/2014,Value,,,,,"£5,000.00"
John Bercow MP,Mr Michael Keegan,Cash,26/04/2017,02/05/2017,Value,,,,,"£5,000.00"
John Bercow MP,Pilotstudio,Visit,27/09/2019,11/10/2019,Value,Netherlands,,,To appear on the talk show Jinek to discuss my role as Speaker and the work of Parliament.,"£2,516.00"
John Bercow MP,Sir David Garrard,Cash,25/04/2017,02/05/2017,Value,,,,,"£5,000.00"
John Bercow MP,Sun Mark Ltd,Cash,04/12/2013,09/12/2013,Value,,,,,"£5,000.00"
John Bercow MP,Sun Mark Ltd,Cash,29/04/2017,02/05/2017,Value,,,,,"£5,000.00"
John Bercow MP,Trust Reservations Ltd,Cash,01/07/2014,01/07/2014,Value,,,,,"£5,000.00"
John Bercow MP,University of Essex,Visit,24/09/2018,12/10/2018,Value,Hong Kong,,,Visit as Chancellor of the University of Essex,"£6,100.00"
John Bercow MP,Vascroft Contractors Ltd,Cash,18/06/2014,01/07/2014,Value,,,,,"£3,500.00"
John Bercow MP,World Vision UK,Visit,24/07/2005,01/08/2005,Value,Mozambique,,,To study issue of HIV/AIDS and orphaned children,"£1,500.00"
John Bercow MP,Zurich University,Visit,19/09/2019,11/10/2019,Value,Switzerland,,,"To deliver a speech on my role as Speaker to the Churchill Europe Symposium, and to meet Swiss politicians.","£2,082.51"
John Biggs,GMB,Cash,23/03/2013,23/04/2013,Value,,,,,"£3,000.00"
John Biggs,GMB,Cash,10/06/2013,08/07/2013,Value,,,"Mayor, Borough of Tower Hamlets",,"£3,000.00"
John C. Bowis MEP,BAA Plc,Non Cash,30/06/2001,01/07/2001,Value,,Travel,,,"£3,933.90"
John Corrie MEP,BAA Plc,Non Cash,02/07/2001,01/08/2001,Value,,Travel,,,"£3,933.90"
John Cummings MP,BAA Plc,Non Cash,30/06/2001,01/07/2001,Value,,Travel,,,"£5,245.20"
John Denham MP,Mr Nigel Doughty,Visit,03/10/2011,29/11/2011,Value,Singapore,,,Observance of Singaporean businesses/Eastern economies,"£4,657.95"
John Denham MP,Mr Nigel Doughty,Visit,31/10/2011,29/11/2011,Value,Washington,,,Observance of Washington businesses,"£4,697.71"
John Finucane,Friends of Sinn Féin Canada,Visit,17/10/2022,29/06/2023,Value,"Toronto, Kingston, Ottowa",,,"To brief political leaders, the Irish Diaspora, academics and labour leaders on political developments in Ireland.","£1,684.50"
John Finucane,Friends of Sinn Féin Canada,Visit,26/05/2023,29/06/2023,Value,Montreal,,,"To brief the Irish Diaspora, academics and labour leaders on political developments in Ireland and to speak at the annual March to the Black Rock in Montreal.","£1,849.29"
John Finucane,Friends of Sinn Féin USA,Visit,24/09/2023,18/10/2023,Value,"Boston, USA.",,,"To brief the Irish Diaspora on political developments in Ireland and to speak at the Edward Kennedy Institute event, marking the 25th Anniversary of the Good Friday Agreement.","£1,868.35"
John Glen MP,British University in Egypt,Visit,13/06/2014,03/07/2014,Value,"Cairo, Egypt",,,"To meet the new President, government ministers, religious leaders, British 
Council, IPU and representatives of civil society in Egypt and discuss developments taking 
place in the run up to parliamentary elections.","£3,300.00"
John Glen MP,Conservative Friends of Israel Ltd,Visit,25/09/2016,10/10/2016,Value,Israel and the West Bank,,,Fact finding political delegation,"£2,000.00"
John Glen MP,Embassy of Japan,Visit,08/02/2017,15/03/2017,Value,Japan,,,"Invited by Embassy of Japan to meet with Japanese Parliamentarians, Government officials and Industry.","£9,281.27"
John Greenway,BAA Plc,Non Cash,26/06/2001,01/07/2001,Value,,Travel,,,"£5,245.20"
John Grogan MP,Anglo Arab Organisation,Visit,04/01/2007,01/02/2007,Value,Lebanon and Syria,,,Discussions with Lebanese and Syrian politicians.,"£3,000.00"
John Grogan MP,Mashreq Bank,Visit,09/05/2009,01/06/2009,Value,United Arab Emirates,,,Meet UAE politicians and businessmen.,"£1,001.00"
John Grogan MP,Qatar Government,Visit,07/04/2004,01/05/2004,Value,Qatar,,,To attend conference on industry and trade,"£4,500.00"
John Grogan MP,Qatar Government,Visit,10/04/2006,01/05/2006,Value,"Doha, Qatar",,,6th Conference on Democracy and Free Trade,"£3,500.00"
John Grogan MP,Qatar Government,Visit,13/04/2008,01/05/2008,Value,Qatar,,,Attend conference on Democracy and Development,"£4,000.00"
John Grogan MP,Qatar Government,Visit,06/05/2009,01/06/2009,Value,Qatar,,,"Doha Forum on Democracy, Development & Free Trade","£1,001.00"
John Gummer MP,BAA Plc,Non Cash,30/06/2001,01/07/2001,Value,,Travel,,,"£5,245.20"
John Hayes MP," David Ball",Cash,15/01/2020,07/02/2020,Value,,,,,"£10,000.00"
John Hayes MP,"Amman Arab University, Jordan",Visit,25/01/2010,01/02/2010,Value,"Amman, Jordan",,,not recorded,"£1,909.64"
John Healey MP," Chris Rea",Cash,12/11/2014,19/11/2014,Value,,,,,"£5,000.00"
John Healey MP," Nigel Grinyer",Cash,30/08/2022,31/08/2022,Value,,,,,"£15,000.00"
John Healey MP,11 KBW,Non Cash,01/02/2012,23/07/2012,Value,,Other,,,"£14,586.00"
John Healey MP,Friedrich Ebert Stiftung,Visit,13/09/2018,27/09/2018,Value,Berlin,,,To discuss housing policy with German politicians and experts.,"£1,680.00"
John Healey MP,Mr Mal Ogg,Cash,18/08/2014,20/08/2014,Value,,,,,"£5,000.00"
John Healey MP,PA Consulting Services Ltd,Non Cash,24/03/2015,25/05/2015,Value,,Consultancy services,,,"£10,800.00"
John Healey MP,Pallas Foundation,Visit,10/10/2022,25/10/2022,Value,Washington DC,,,"Speech at the Wilson Center, policy discussions and briefings with US Government officials, officials from Congress, think tanks and industry","£17,449.88"
John Healey MP,PriceWaterhouse Coopers LLP,Non Cash,01/04/2014,02/04/2014,Value,,Staff costs,,,"£32,670.00"
John Healey MP,Steel & Shamash Solicitors,Non Cash,01/02/2012,23/07/2012,Value,,Other,,,"£14,283.56"
John Howell MP,Australia Israel Cultural Exchange Limited (AICE),Visit,06/07/2018,18/07/2018,Value,Jerusalem,,,"Multilateral conference between UK, Israel, Australia and USA.","£1,750.00"
John Howell MP,Australia Israel Cultural Exchange Limited (AICE),Visit,14/12/2019,07/01/2020,Value,Jerusalem,,,"Multilateral conference between UK, Israel, Australia and USA.","£1,750.00"
John Howell MP,Chartered Institute of Arbitrators,Visit,17/08/2019,28/08/2019,Value,Singapore,,,"In my capacity as Chairman of the APPG on Alternative Dispute Resolution, to examine the development of Singapore as a global arbitration and mediation hub - Airfares, accommodation and related expenses, with a total value of £7,085.46.","£7,085.46"
John Howell MP,Conservative Friends of Israel,Visit,12/11/2012,23/11/2012,Value,Israel and the West Bank,,,Fact finding political delegation,"£1,925.00"
John Howell MP,Conservative Friends of Israel,Visit,26/07/2015,12/08/2015,Value,Israel and the West Bank,,,Fact finding political delegation to Israel and the West Bank,"£2,900.00"
John Howell MP,Conservative Friends of Israel,Visit,14/02/2016,23/02/2016,Value,Israel and the West Bank,,,fact finding political delegation.,"£2,000.00"
John Lamont MSP," Jill Bristow",Cash,30/08/2022,23/12/2022,Value,,,,,"£1,000.00"
John Lamont MSP," Jill Bristow",Cash,21/12/2022,23/12/2022,Value,,,,,"£1,000.00"
John Lamont MSP,CMEC UK MENA Ltd,Visit,15/02/2020,25/02/2020,Value,Israel/Palestine,,,Fact finding visit to gain a deeper understanding of issues in Israel/Palestine.,"£2,000.00"
John Lamont MSP,Conservative Friends of Israel,Visit,17/02/2013,20/03/2013,Value,Israel,,,Fact finding political delegation to Israel and the West Bank.,"£2,000.00"
John Lamont MSP,Conservative Friends of Israel,Visit,31/07/2016,06/09/2016,Value,Israel and the West Bank,,,Part of a fact finding delegation to Israel and the West Bank for Conservative MSPs.,"£2,000.00"
John Lamont MSP,"Ministry of Foreign Affairs, Sri Lanka",Visit,02/01/2018,01/02/2018,Value,Sri Lanka,,,"Participation in a study tour (Anglo-Sri Lankan relations, international trade, port city reconstruction, endangered species).","£7,750.00"
John Lamont MSP,Taipei Representative Office,Visit,08/10/2013,01/11/2013,Value,Taiwan,,,Part of a cross party delegation to hold meetings with government departments and several trade and cultural organisations.,"£3,108.00"
John Leech MP,Emirates Airlines,Visit,10/09/2010,01/10/2010,Value,"Dhaka and Khulna, Bangladesh",,,Participate in VSO's volunteering scheme.,"£1,960.00"
John Leech MP,Government of the United Arab Emirates,Visit,16/11/2013,09/12/2013,Value,"Abu Dhabi, United Arab Emirates",,,"To meet Government Ministers, Members of the Federal National Council, and senior business figures, together with British diplomats in order to build on the strong bilateral relationship and further promote trade and investment ties.","£3,500.00"
John Leech MP,Taipei Representative Office,Visit,02/09/2013,07/11/2013,Value,Taiwan,,,"As a member of the All Party Light Rail Group as part of our enquiry into the growth and regeneration potential of light rail, meeting with politicians, officials and industry experts to discuss Light Rail.","£3,810.00"
John Lyons MP,BAA Plc,Non Cash,30/07/2001,01/08/2001,Value,,Travel,,,"£5,245.20"
John Mann MP,All Party Group on Malaria and Neglected Tropical Diseases,Visit,30/12/2012,23/01/2013,Value,Tanzania,,,finding visit by the All Party Group on Malaria and Neglected Tropical Diseases.,"£1,970.19"
John Mann MP,American Jewish Committee,Visit,09/05/2009,01/06/2009,Value,not recorded,,,not recorded,"£1,001.00"
John Mann MP,Anglo Arab Organisation,Visit,08/01/2007,01/02/2007,Value,Syria and Lebanon,,,To visit Syrian and Lebanese Parliaments.,"£1,369.30"
John Mann MP,APPG for the Polar Regions,Visit,24/08/2018,11/09/2018,Value,Greenland,,,"To establish and develop dialogue with the Parliament and Government of Greenland; promote awareness and understanding among UK Parliamentarians of challenges and opportunities facing Greenland as a consequence of environmental, geopolitical and economic c","£2,707.00"
John Mann MP,BAA Plc,Non Cash,15/09/2001,01/10/2001,Value,,Travel,,,"£5,245.20"
John Mann MP,British Airways,Visit,28/06/2008,01/07/2008,Value,Rio de Janeiro,,,flight upgrade to visit Bola Pra Frente project,"£1,001.00"
John Mann MP,Chatham House Africa Programme,Visit,06/11/2006,01/12/2006,Value,Nigeria,,,All party group visit.,"£5,000.00"
John Mann MP,Community Union - Sponsorship,Non Cash,13/02/2009,01/03/2009,Value,,Advertising,,,"£2,000.00"
John Mann MP,Confederation of Indian Industry,Visit,21/01/2002,01/02/2002,Value,India,,,All Party delegation,"£5,000.00"
John Mann MP,Consolidated Contractors International (UK),Visit,12/12/2003,01/01/2004,Value,Kazakhstan,,,All Party delegation,"£1,500.00"
John Mann MP,Consolidated Contractors International (UK),Visit,30/09/2004,01/10/2004,Value,Kazakhstan,,,All Party delegation,"£3,000.00"
John Mann MP,Coventry Building Society,Visit,28/05/2014,10/07/2014,Value,"Iliniza, Cayembe, Cotopaxi in Ecuador",,,To launch the Royal British Legion Battle Back recovery centre expeditions with injured soldiers.,"£2,500.00"
John Mann MP,European Parliamentary Forum on Population and Development,Visit,17/07/2013,06/09/2013,Value,Myanmar (Burma),,,"Visit organised by All Party Parliamentary Group on Population, Development and Reproductive Health, to build awareness of sexual and reproductive health and rights/maternal health/family planning issues, with a specific focus on programmes in fragile stat","£2,303.04"
John Mann MP,European Parliamentary Forum on Population and Development,Visit,23/06/2019,09/08/2019,Value,Zambia,,,"Parliamentary delegation to Zambian Parliamentary Assembly. Flights, food, accommodation and local transport, total value £2,058","£2,058.00"
John Mann MP,Government of Botswana,Visit,31/03/2006,01/04/2006,Value,Botswana,,,Economic and tourist policy,"£7,500.00"
John Mann MP,Inter-parliamentary Coalition for Combating Antisemitism (ICCA),Visit,06/08/2014,07/10/2014,Value,"Panama City; Panama, San Jose; Costa Rica & Managua; Nicaragua",,,To support the work of the ICCA.,"£3,986.00"
John Mann MP,Inter-parliamentary Coalition for Combating Antisemitism (ICCA),Visit,06/09/2014,07/10/2014,Value,"San Francisco, USA",,,To attend meeting on internet hate crime at Google HQ.,"£4,063.00"
John Mann MP,Israel-Britain Commonwealth Association,Visit,03/11/2009,01/12/2009,Value,Israel,,,"Visit Israel, give speech at Balfour Dinner.","£1,200.00"
John Mann MP,Majlis As Shura - Shura Council of Kingdom Saudi Arabia,Visit,04/12/2011,20/12/2011,Value,"Riyadh, Saudi Arabia",,,"All Party Parliamentary Group visit to meet Members of the Shura Council, Government Ministers and various human rights groups","£2,750.00"
John Mann MP,"Ministry of Foreign Affairs, Vietnam",Visit,03/11/2012,14/11/2012,Value,Vietnam,,,"Visit with All-Party Group for Vietnam, looking at trade and investment
opportunities","£3,400.00"
John Mann MP,Parliamentary Committee against Anti-Semitism,Visit,25/01/2008,01/02/2008,Value,Berlin,,,Conference,£400.00
John Mann MP,Parliamentary Committee against Anti-Semitism,Visit,25/02/2008,01/03/2008,Value,Jerusalem,,,Conference,£750.00
John Mann MP,The American Jewish Committee,Visit,10/02/2018,19/04/2018,Value,"Chicago, Cincinnati, Los Angeles, Boston",,,To meet with US political representatives to discuss the rise of antisemitism.,"£3,530.00"
John Mann MP,The American Jewish Congress,Visit,02/06/2019,14/06/2019,Value,"Washington DC, USA",,,"Speaker on a panel at the international AJC conference on anti-semitism. - flights, hotel and other travel with a value of £3,528","£3,528.00"
John Mann MP,The Antisemitism Policy Trust,Visit,12/09/2018,11/09/2018,Value,Washington and New York,,,Delegation of MPs with the APPG Against Antisemitism to visit Washington and New York for meetings with social media companies and officials about antisemitism.,"£1,918.00"
John Mann MP,The PCAA Foundation,Visit,10/03/2016,24/03/2016,Value,Berlin,,,"Delegation of MPs with the APPG Against Antisemitism to attend a major conference on antisemitism, hosted by the German Government and the Inter-parliamentary Coalition for Combating Antisemitism (ICCA) to discuss and debate best practice in dealing with a","£1,830.13"
John Mann MP,The PCAA Foundation,Visit,05/06/2016,15/09/2016,Value,Washington DC,,,invited by the American Jewish Committee to inform their annual congress of my parliamentary work as Chair of the All-Party Parliamentary Group Against Anti-Semitism.,"£4,500.00"
John Mann MP,The PCAA Foundation,Visit,02/01/2017,13/01/2017,Value,"Israel and the Palestinian Territories, Qatar",,,APPG Against Antisemitism delegation to discuss and seek out good practice in addressing antisemitism and racism in football and on the internet.,"£2,967.00"
John Mann MP,Voluntary Service Overseas,Visit,11/08/2009,01/09/2009,Value,"Ulanbator, Mongolia",,,Participate in VSO's Volunteering scheme.,"£1,821.96"
John Mann MP,Voluntary Service Overseas,Visit,27/08/2010,01/09/2010,Value,"Ulaanbator, Mongolia",,,not recorded,"£2,062.00"
John Maples,BAA Plc,Non Cash,16/02/2003,01/03/2003,Value,,Travel,,,"£5,245.20"
John McDonnell MP,Central London Branch Communication Workers Union,Cash,08/12/2006,01/01/2007,Value,,,,,"£2,000.00"
John McDonnell MP,"National Union of Rail, Maritime & Transport Workers",Cash,11/01/2007,01/02/2007,Value,,,,,"£5,000.00"
John McFall MP,Aberdeen Asset Management,Visit,13/03/2010,01/04/2010,Value,Singapore and Kuala Lumpur,,,Examined banking and financial services.,"£5,313.50"
John McFall MP,Assoc of private clients & investment managers & stockbrokers,Visit,12/10/2006,01/11/2006,Value,Barcelona,,,Conference speaker,"£1,500.00"
John McFall MP,BAA Plc,Non Cash,20/07/2001,01/08/2001,Value,,Travel,,,"£5,245.20"
John McFall MP,Hong Kong Information Services Department,Visit,24/09/2005,01/10/2005,Value,Hong Kong,,,Overview of economic and financial developments,"£7,000.00"
John McFall MP,Labour Friends of Israel,Visit,10/09/2005,01/10/2005,Value,Israel,,,Party of Parliamentary delegates,"£1,421.51"
John McFall MP,Labour Friends of Israel,Visit,10/09/2006,01/10/2006,Value,Israel and the Palestinian Territories,,,Party of Parliamentary delegates,"£1,421.51"
John Penrose,Falcon and Associates FZ-LLC,Visit,24/03/2017,05/04/2017,Value,Dubai,,,"Attended the Racing World Cup as a former Racing Minister (Department for Culture, Media & Sport).","£5,190.14"
